data,produto,categoria,quantidade,preco_unitario
2026-01-05,Notebook,Eletrônicos,2,3500
2026-01-08,Mouse,Eletrônicos,8,80
2026-01-12,Teclado,Eletrônicos,5,150
2026-01-15,Cadeira,Móveis,3,700
2026-02-03,Notebook,Eletrônicos,1,3500
2026-02-10,Mouse,Eletrônicos,12,80
2026-02-18,Teclado,Eletrônicos,7,150
2026-02-22,Cadeira,Móveis,4,700
2026-03-02,Notebook,Eletrônicos,3,3500
2026-03-07,Mouse,Eletrônicos,15,80
2026-03-14,Teclado,Eletrônicos,10,150
2026-03-20,Cadeira,Móveis,5,700
2026-04-04,Notebook,Eletrônicos,2,3500
2026-04-11,Mouse,Eletrônicos,10,80
2026-04-19,Teclado,Eletrônicos,8,150
2026-04-25,Cadeira,Móveis,6,700
2026-05-03,Notebook,Eletrônicos,4,3500
2026-05-09,Mouse,Eletrônicos,18,80
2026-05-16,Teclado,Eletrônicos,12,150
2026-05-24,Cadeira,Móveis,7,700
